musical_expertise,aggressive,relaxed,happy,sad,correct,stimulus_number,file_name,composer,instrument,emotional_intent,emotional_intent_value,intent_rating_difference,emotional_intent_value_word,emotional_intent_value_word_general
none,2,1,2,1,0,62,62_aggressive_2_steelstring-guitar_AdoLaV_pick_new8_20200619.wav,AdoLaV,steelstring-guitar,aggressive,1,-1,little_aggressive,little
none,-1,1,1,-1,0,146,146_aggressive_2_steelstring-guitar_AleMar_pick_new9_20200724.wav,AleMar,steelstring-guitar,aggressive,1,2,little_aggressive,little
none,1,-1,1,1,0,369,369_aggressive_2_classical-guitar_AngLoi_fingers_new5_20200917.wav,AngLoi,classical-guitar,aggressive,1,0,little_aggressive,little
none,1,-1,1,-1,0,380,380_aggressive_1_steelstring-guitar_AngLoi_pick_new3_20200917.wav,AngLoi,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,2,1,1,0,334,334_aggressive_3_classical-guitar_AntDel_pick_new8_20200831.wav,AntDel,classical-guitar,aggressive,1,0,little_aggressive,little
none,1,1,1,0,0,261,261_aggressive_2_steelstring-guitar_AntPao_pick_new9_20200801.wav,AntPao,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,-1,-1,3,0,249,249_aggressive_2_classical-guitar_CesSam_fingers_new4_20200720.wav,CesSam,classical-guitar,aggressive,1,0,little_aggressive,little
none,1,1,2,0,0,14,14_aggressive_2_steelstring-guitar_DavBen_pick_new4_20200623.wav,DavBen,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,0,2,0,0,27,27_aggressive_3_classical-guitar_DavBen_pick_new8_20200526.wav,DavBen,classical-guitar,aggressive,1,0,little_aggressive,little
none,1,-1,1,-1,0,272,272_aggressive_1_steelstring-guitar_DavRos_pick_new3_20200901.wav,DavRos,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,1,1,-1,0,178,178_aggressive_3_steelstring-guitar_FilMel_fingers_new6_20200729.wav,FilMel,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,-1,1,1,0,297,297_aggressive_2_steelstring-guitar_GiaFer_pick_new9_20200803.wav,GiaFer,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,1,1,1,0,190,190_aggressive_3_classical-guitar_GioAcq_fingers_new3_20200706.wav,GioAcq,classical-guitar,aggressive,1,0,little_aggressive,little
none,2,-1,1,2,0,310,310_aggressive_3_steelstring-guitar_GioDic_pick_new5_20200821.wav,GioDic,steelstring-guitar,aggressive,1,-1,little_aggressive,little
none,1,-1,2,1,0,357,357_aggressive_2_steelstring-guitar_LucFra_fingers_new6_20200914.wav,LucFra,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,1,1,1,0,160,160_aggressive_1_steelstring-guitar_MasChi_pick_new5_20200729.wav,MasChi,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,0,2,1,0,38,38_aggressive_2_steelstring-guitar_OweWin_pick_new5_20200629.wav,OweWin,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,-1,1,1,0,87,87_aggressive_3_steelstring-guitar_TomCan_pick_new1_20200707.wav,TomCan,steelstring-guitar,aggressive,1,0,little_aggressive,little
none,1,-2,1,1,0,63,63_aggressive_3_steelstring-guitar_AdoLaV_pick_new8_20200619.wav,AdoLaV,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,-2,-2,1,-1,0,145,145_aggressive_1_steelstring-guitar_AleMar_pick_new9_20200724.wav,AleMar,steelstring-guitar,aggressive,2,4,normal_aggressive,normal
none,1,0,1,0,0,147,147_aggressive_3_steelstring-guitar_AleMar_pick_new9_20200724.wav,AleMar,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
